# Time-averaged data for fix chloridemsdt
# TimeStep c_chloridemsd[4]
100000 7.50219e-31
101000 0.317644
102000 0.337188
103000 0.323896
104000 0.333138
105000 0.339842
106000 0.340158
107000 0.334073
108000 0.343232
109000 0.325325
110000 0.337926
111000 0.338572
112000 0.339249
113000 0.341851
114000 0.345513
115000 0.336963
116000 0.33839
117000 0.332892
118000 0.338851
119000 0.336657
120000 0.343686
121000 0.336874
122000 0.347586
123000 0.340132
124000 0.339304
125000 0.33759
126000 0.338234
127000 0.337963
128000 0.333508
129000 0.329664
130000 0.342368
131000 0.336012
132000 0.347941
133000 0.33655
134000 0.337088
135000 0.341896
136000 0.333463
137000 0.338921
138000 0.335759
139000 0.33779
140000 0.334757
141000 0.33552
142000 0.335959
143000 0.34197
144000 0.329068
145000 0.328858
146000 0.34145
147000 0.337519
148000 0.337506
149000 0.338943
150000 0.340034
151000 0.336109
152000 0.334968
153000 0.338355
154000 0.326739
155000 0.339901
156000 0.32875
157000 0.335697
158000 0.336671
159000 0.335776
160000 0.334926
161000 0.336492
162000 0.335921
163000 0.339918
164000 0.339161
165000 0.341094
166000 0.339273
167000 0.331312
168000 0.333853
169000 0.339879
170000 0.334748
171000 0.333217
172000 0.335917
173000 0.329871
174000 0.33798
175000 0.334654
176000 0.334601
177000 0.333332
178000 0.346802
179000 0.32953
180000 0.340438
181000 0.341457
182000 0.331394
183000 0.342421
184000 0.331839
185000 0.334451
186000 0.324934
187000 0.329193
188000 0.3337
189000 0.332541
190000 0.339443
191000 0.33775
192000 0.347768
193000 0.33832
194000 0.339407
195000 0.32635
196000 0.343903
197000 0.331276
198000 0.332928
199000 0.345414
200000 0.33767
201000 0.343439
202000 0.335686
203000 0.343751
204000 0.338243
205000 0.338839
206000 0.343268
207000 0.341779
208000 0.340453
209000 0.336754
210000 0.326587
211000 0.343141
212000 0.34224
213000 0.335826
214000 0.33168
215000 0.340592
216000 0.335246
217000 0.338953
218000 0.327654
219000 0.337426
220000 0.330641
221000 0.339114
222000 0.353434
223000 0.335922
