# "Timestep" "MSD Type 1"
100000 0.0 
101000 0.32793473858342864 
102000 0.29633466575558154 
103000 0.30434391883599193 
104000 0.34284673326644155 
105000 0.35655891795868544 
106000 0.36850966908604 
107000 0.36185815254842296 
108000 0.36278991840434793 
109000 0.3584470498574752 
110000 0.40299907830448073 
111000 0.3949803683694838 
112000 0.364510324951765 
113000 0.3661879758371479 
114000 0.3878883807862755 
115000 0.3966215156307086 
116000 0.3888787549317554 
117000 0.3781965783178094 
118000 0.4022505622763544 
119000 0.3899298431619426 
120000 0.40612594402232305 
121000 0.42536991615395436 
122000 0.434235154545859 
123000 0.4278572142683177 
124000 0.43105488137858056 
125000 0.48991180501657167 
126000 0.5144798977153949 
127000 0.46977787762101675 
128000 0.46359709323634385 
129000 0.4627430188476214 
130000 0.42544647191578755 
131000 0.49028628037741184 
132000 0.5320559444157336 
133000 0.5087238295781267 
134000 0.5121542991138435 
135000 0.5224803659822886 
136000 0.48784290688701276 
137000 0.48959654041348105 
138000 0.5006517625131859 
139000 0.4944830192435208 
140000 0.515627551220887 
141000 0.5371813626134668 
142000 0.5390004923152747 
143000 0.5196843582017865 
144000 0.49607639782966456 
145000 0.5093212045301962 
146000 0.5222980843184464 
147000 0.5126954242406186 
148000 0.5423781282242174 
149000 0.5389350318320463 
150000 0.513854398402337 
151000 0.5699181155889247 
152000 0.5441706370765786 
153000 0.6019054067298103 
154000 0.5841235479205902 
155000 0.6415950889417878 
156000 0.5961374615096381 
157000 0.6248286386461801 
158000 0.6162566843594229 
159000 0.5986159914268241 
160000 0.6245354444735339 
161000 0.6350746139612413 
162000 0.6425636416549522 
163000 0.6488828987060185 
164000 0.6285756141427837 
165000 0.6648625596469336 
166000 0.6277999172499044 
167000 0.667282787765753 
168000 0.7300914071878635 
169000 0.6568903240258842 
170000 0.6511243790594923 
171000 0.6797679986573125 
172000 0.6457717872901205 
173000 0.6551222305596758 
174000 0.6597913904160816 
175000 0.6505635474273279 
176000 0.6628671105538274 
177000 0.6875467919371798 
178000 0.67476006455251 
179000 0.6457513401655991 
180000 0.6665867820783302 
181000 0.6635712918383418 
182000 0.7171757947991618 
183000 0.7017081498813066 
184000 0.7332689126611576 
185000 0.7889566130083425 
186000 0.7618019503830972 
187000 0.7460028674069423 
188000 0.7615080233074447 
189000 0.735123804849789 
190000 0.772573722731149 
191000 0.7235258527529383 
192000 0.780236612406748 
193000 0.7587375942509662 
194000 0.6935104253509111 
195000 0.7347016793085571 
196000 0.7230085067220559 
197000 0.7641458689899788 
198000 0.7559901389954244 
199000 0.7702482990469997 
200000 0.7070512935665036 
201000 0.7774971175421787 
202000 0.7296000850860302 
203000 0.6990656626313083 
204000 0.7246497261899221 
205000 0.7640545173885577 
206000 0.7236184848617568 
207000 0.7399166719491092 
208000 0.7281367627106374 
209000 0.765695202174582 
210000 0.7263810489983428 
211000 0.7514122662071662 
212000 0.7367650899514744 
213000 0.7518908957355767 
214000 0.744429722914988 
215000 0.7311418363066454 
216000 0.7338982279841608 
217000 0.7242725410989618 
218000 0.7383724048045042 
219000 0.7230871925740116 
220000 0.7515162755759139 
221000 0.7555319799915537 
222000 0.7439499703261581 
223000 0.7729830588550172 
224000 0.7323609367641415 
225000 0.759947052218965 
226000 0.7525039326116115 
227000 0.7466655019064872 
228000 0.7702569723656305 
229000 0.7581017961468475 
230000 0.7559408932847457 
231000 0.7847599951783825 
232000 0.8090413381838275 
233000 0.7822860924664822 
234000 0.7791898248157207 
